materias,notas
CLUB DE YOGA,8.8
METODOS ESTADISTICOS,9.9
MULTIMEDIA E INTERACT. 1,9.2
SONIDO DIGITAL I,7.9
GUION CINEMATOGRAFICO II,8.5
MODELADO 3D ORGANICO,10.0
ANIMACION 3D,9.5
VIDEOCOMPOSICION DIGITAL I,9.5
ILUMINACI Y TEXTURA DIGITAL,9.3
D-LEGISLACION Y COSTOS,9.9
C-CLUB DE ARTES MARCIALES,10.0
D-PUBLICIDAD Y MARKETING,8.3
D-TRABAJO EN EQUIPO,9.4
D-MARKETING PERSONAL,8.1
D-MULTIMEDIA E INTERACT. 2,9.9
D-ANIMACION 3D III,8.9
D-ESCULTURA DIGITAL,9.4
D-VIDEOCOMPOSICION DIGITAL II,8.8
